Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2020-05-15 ,5921,1.46,4540.88,No
2020-05-16 ,21614,2.08,15203.88,Yes
2020-05-17 ,10795,3.5,8549.22,Yes
2020-05-18 ,15719,5.06,11863.03,Yes
2020-05-19 ,13835,2.06,10642.3,Yes
2020-05-20 ,17984,3.21,13810.75,Yes
2020-05-21 ,16045,2.28,12077.41,Yes
2020-05-22 ,16257,1.73,12069.17,Yes
2020-05-23 ,23688,2.53,16550.17,Yes
2020-05-24 ,12932,2.53,10019.14,Yes
2020-05-25 ,17946,2.28,13275.39,Yes
2020-05-26 ,21696,2.69,16250.58,Yes
2020-05-27 ,11302,1.63,8427.36,Yes
2020-05-28 ,19731,1.72,14846.08,Yes
2020-05-29 ,18519,1.69,13841.44,Yes
2020-05-30 ,9735,3.36,7280.69,No
2020-05-31 ,14306,1.72,10722.89,Yes
2020-06-01 ,13619,2.25,10247.2,Yes
2020-06-02 ,13137,3.39,10097.04,Yes
2020-06-03 ,10265,3.03,7836.63,Yes
2020-06-04 ,19899,1.89,15307.67,Yes
2020-06-05 ,18857,1.7,14458.18,Yes
2020-06-06 ,6096,3.75,4796.35,No
2020-06-07 ,1321,1.57,999.4,No
2020-06-08 ,16401,1.83,12613.95,Yes
2020-06-09 ,9727,2.0,7399.21,No
2020-06-10 ,15745,2.02,11991.97,Yes
2020-06-11 ,11681,1.71,8865.4,Yes
2020-06-12 ,8742,1.78,6731.25,No
2020-06-13 ,7866,3.72,6567.37,No
2020-06-14 ,4936,1.56,3759.58,No
2020-06-15 ,17912,1.92,13790.78,Yes
2020-06-16 ,19029,1.78,14146.87,Yes
2020-06-17 ,15102,5.03,11595.54,Yes
2020-06-18 ,15907,1.75,12074.83,Yes
2020-06-19 ,16231,1.61,12315.23,Yes
2020-06-20 ,2847,3.53,2547.49,No
2020-06-21 ,3854,3.42,3110.65,No
2020-06-22 ,16700,1.67,12744.46,Yes
2020-06-23 ,12392,1.75,9417.77,Yes
2020-06-24 ,16948,1.64,12889.76,Yes
2020-06-25 ,17428,3.13,13174.76,Yes
2020-06-26 ,14536,1.75,10877.58,Yes
2020-06-28 ,15016,2.25,10154.17,Yes
2020-06-29 ,20102,1.61,15119.5,Yes
2020-06-30 ,11790,1.66,8569.71,Yes
2020-07-01 ,24483,4.39,18255.75,Yes
2020-07-02 ,21406,2.03,15965.73,Yes
2020-07-03 ,19242,2.89,14463.13,Yes
2020-07-04 ,7117,3.78,5623.22,No
2020-07-05 ,3764,3.36,3148.01,No
2020-07-06 ,15068,2.75,11232.47,Yes
2020-07-07 ,22896,1.99,17385.38,Yes
2020-07-08 ,13880,3.5,10461.31,Yes
2020-07-09 ,19847,2.17,15203.82,Yes
2020-07-10 ,16942,1.92,12892.16,Yes
2020-07-11 ,2475,3.78,2085.11,No
2020-07-12 ,3047,6.28,2552.52,No
2020-07-13 ,21930,2.08,16780.59,Yes
2020-07-14 ,13014,1.83,9863.96,Yes
2020-07-15 ,18932,2.72,14658.64,Yes
2020-07-16 ,13061,1.92,9873.05,Yes
2020-07-17 ,12895,2.69,9836.49,Yes
2020-07-18 ,4708,3.75,3939.2,No
2020-07-20 ,14353,1.75,10970.71,Yes
2020-07-21 ,19089,2.47,14698.03,Yes
2020-07-22 ,11108,2.64,8569.24,Yes
2020-07-23 ,21551,3.25,16429.63,Yes
2020-07-24 ,17959,2.28,13820.61,Yes
2020-07-25 ,12398,3.03,9611.77,Yes
2020-07-26 ,7661,3.14,6082.23,No
2020-07-27 ,13410,1.72,10078.55,Yes
2020-07-28 ,14009,3.19,10299.43,Yes
2020-07-29 ,15377,1.62,11362.36,Yes
2020-07-30 ,18414,2.3,13716.93,Yes
2020-07-31 ,17178,1.58,12746.22,Yes
2020-08-01 ,18450,1.56,13064.13,Yes
2020-08-02 ,8718,1.67,6510.32,No
2020-08-03 ,18317,1.89,13955.03,Yes
2020-08-04 ,16451,1.97,12557.7,Yes
2020-08-05 ,20707,2.33,15938.66,Yes
2020-08-06 ,15802,2.97,12015.6,Yes
2020-08-07 ,14516,2.2,11124.0,Yes
2020-08-08 ,11025,2.3,8457.06,Yes
2020-08-09 ,994,1.39,760.14,No
2020-08-10 ,13821,2.25,10363.66,Yes
2020-08-11 ,16784,1.67,12672.96,Yes
2020-08-12 ,16281,2.36,12414.67,Yes
2020-08-13 ,19051,2.19,14566.86,Yes
2020-08-14 ,13708,1.87,10306.34,Yes
2020-08-15 ,5965,4.0,4795.41,No
2020-08-16 ,2309,3.58,1935.16,No
2020-08-17 ,6760,4.31,5597.25,No
2020-08-19 ,16291,1.41,12439.64,Yes
2020-08-20 ,11364,1.38,8608.18,Yes
2020-08-21 ,12513,1.38,9575.74,Yes
2020-08-22 ,8735,1.59,7077.95,No
2020-08-23 ,5893,1.72,5016.91,No
2020-08-24 ,14992,1.44,11537.92,Yes
2020-08-25 ,12638,1.43,9748.72,Yes
2020-08-26 ,12559,1.42,9610.09,Yes
2020-08-27 ,12251,1.42,9422.52,Yes
2020-08-28 ,18836,1.49,14813.38,Yes
2020-08-29 ,4428,1.88,3907.84,No
2020-08-30 ,4350,1.71,3647.22,No
2020-08-31 ,12172,1.39,9284.41,Yes
2020-09-01 ,16287,1.43,12483.04,Yes
2020-09-02 ,17662,1.37,13431.3,Yes
2020-09-03 ,21162,1.41,16130.96,Yes
2020-09-04 ,16901,1.41,12998.6,Yes
2020-09-05 ,8919,1.69,7343.3,No
2020-09-06 ,8649,1.54,6697.15,No
2020-09-07 ,16977,1.42,12916.67,Yes
2020-09-08 ,19535,1.42,15033.15,Yes
2020-09-09 ,10170,1.37,7655.21,Yes
2020-09-10 ,17297,1.39,13016.72,Yes
2020-09-11 ,17343,1.38,12993.24,Yes
2020-09-12 ,10009,1.33,7480.5,Yes
2020-09-13 ,9481,1.39,7170.05,No
2020-09-14 ,19947,1.32,14826.23,Yes
2020-09-15 ,17667,1.35,13167.1,Yes
2020-09-16 ,12696,1.33,9434.78,Yes
2020-09-17 ,17921,1.37,13547.44,Yes
2020-09-18 ,20686,1.39,15769.78,Yes
2020-09-19 ,10144,1.49,8069.09,Yes
